timestamp,value,outputvalue,voltage
12/42/53/695177,10,15326.5419,10
12/42/53/695189,3,4033.3005000000003,3
12/42/53/695197,7,10486.581300000002,7
12/42/53/695205,7,10486.581300000002,7
12/42/53/695212,9,13713.221700000002,9
12/42/53/695219,8,12099.9015,8
12/42/53/695226,3,4033.3005000000003,3
12/42/53/695233,8,12099.9015,8
12/42/53/695240,4,5646.6207,4
12/42/53/695247,9,13713.221700000002,9
12/42/54/695788,10,15326.5419,10
12/42/54/695815,4,5646.6207,4
12/42/54/695824,4,5646.6207,4
12/42/54/695831,8,12099.9015,8
12/42/54/695838,4,5646.6207,4
12/42/54/695846,9,13713.221700000002,9
12/42/54/695853,6,8873.2611,6
12/42/54/695860,8,12099.9015,8
12/42/54/695867,1,806.6601,1
12/42/54/695874,9,13713.221700000002,9
12/42/55/696326,8,12099.9015,8
12/42/55/696349,3,4033.3005000000003,3
12/42/55/696358,7,10486.581300000002,7
12/42/55/696366,4,5646.6207,4
12/42/55/696373,1,806.6601,1
12/42/55/696381,9,13713.221700000002,9
12/42/55/696388,7,10486.581300000002,7
12/42/55/696395,9,13713.221700000002,9
12/42/55/696402,10,15326.5419,10
12/42/55/696409,2,2419.9803,2
12/42/56/696865,8,12099.9015,8
12/42/56/696890,1,806.6601,1
12/42/56/696899,10,15326.5419,10
12/42/56/696907,5,7259.9409000000005,5
12/42/56/696915,4,5646.6207,4
12/42/56/696922,2,2419.9803,2
12/42/56/696929,4,5646.6207,4
12/42/56/696936,6,8873.2611,6
12/42/56/696943,6,8873.2611,6
12/42/56/696950,1,806.6601,1
12/42/57/697474,1,806.6601,1
12/42/57/697510,8,12099.9015,8
12/42/57/697520,1,806.6601,1
12/42/57/697528,5,7259.9409000000005,5
12/42/57/697536,10,15326.5419,10
12/42/57/697543,3,4033.3005000000003,3
12/42/57/697551,4,5646.6207,4
12/42/57/697558,7,10486.581300000002,7
12/42/57/697565,4,5646.6207,4
12/42/57/697572,10,15326.5419,10
12/42/58/697995,8,12099.9015,8
12/42/58/698018,8,12099.9015,8
12/42/58/698027,3,4033.3005000000003,3
12/42/58/698035,1,806.6601,1
12/42/58/698042,1,806.6601,1
12/42/58/698049,6,8873.2611,6
12/42/58/698056,4,5646.6207,4
12/42/58/698063,10,15326.5419,10
12/42/58/698070,4,5646.6207,4
12/42/58/698077,10,15326.5419,10
12/42/59/698535,8,12099.9015,8
12/42/59/698560,9,13713.221700000002,9
12/42/59/698569,10,15326.5419,10
12/42/59/698577,7,10486.581300000002,7
